2026-05-14 23:25:42 | src.voice_handler | INFO | TTS completed (92 chars)
2026-05-14 23:26:15 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-14 23:26:21 | src.voice_handler | INFO | TTS completed (56 chars)
2026-05-14 23:26:29 | src.domain_classifier | INFO | Domain classified: emergency (confidence: 0.050)
2026-05-14 23:26:29 | src.domain_classifier | INFO | Embedding classification: voice_text (confidence: 0.333)
2026-05-14 23:26:29 | src.retriever | INFO | Retrieving top-4 chunks for: 'what can you help me in...'
2026-05-14 23:26:29 | src.retriever | INFO | Retrieved 4 chunks
2026-05-14 23:26:29 | src.llm_engine | INFO | Generating response for: 'what can you help me in'
2026-05-14 23:26:29 | src.llm_engine | ERROR | LLM generation error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-05-14 23:26:29 | src.rag_pipeline | INFO | Query processed — domain: emergency, emergency: True, sources: ['technology.txt', 'companion.txt', 'voice_text_tips.txt', 'entertainment.txt']
2026-05-14 23:26:29 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-14 23:26:42 | src.voice_handler | INFO | TTS completed (170 chars)
2026-05-15 14:15:44 | streamlit_app | WARNING | Failed to initialize MLflow: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 14:15:44 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-15 14:15:44 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-15 14:15:44 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-15 14:15:51 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-15 14:15:51 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-15 14:15:51 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\vectorstore
2026-05-15 14:15:52 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-15 14:15:52 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-15 14:15:52 | src.llm_engine | INFO | Loading LLM via Groq: llama-3.1-8b-instant
2026-05-15 14:15:53 | src.llm_engine | INFO | LLM loaded successfully
2026-05-15 14:15:53 | src.rag_pipeline | INFO | Pipeline initialized successfully!
2026-05-15 14:16:57 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 14:17:04 | src.voice_handler | INFO | TTS completed (56 chars)
2026-05-15 14:17:13 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 14:17:19 | src.voice_handler | INFO | TTS completed (56 chars)
2026-05-15 14:17:30 | src.domain_classifier | INFO | No keyword match — defaulting to 'companion'
2026-05-15 14:17:30 | src.domain_classifier | INFO | Embedding classification: companion (confidence: 1.000)
2026-05-15 14:17:30 | src.retriever | INFO | Retrieving top-4 chunks for: 'what should i do today...'
2026-05-15 14:17:30 | src.retriever | INFO | Domain filter 'companion': 4 matches
2026-05-15 14:17:30 | src.retriever | INFO | Retrieved 4 chunks
2026-05-15 14:17:30 | src.llm_engine | INFO | Generating response for: 'what should i do today'
2026-05-15 14:17:32 | src.llm_engine | INFO | Response generated (2628 chars)
2026-05-15 14:17:32 | src.rag_pipeline | INFO | Query processed — domain: companion, emergency: False, sources: ['companion.txt']
2026-05-15 14:17:32 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 14:20:23 | src.voice_handler | INFO | TTS completed (2628 chars)
2026-05-15 15:07:01 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 15:07:38 | src.domain_classifier | INFO | No keyword match — defaulting to 'companion'
